ID;Set;Comprimento (m);Abertura (mm);Orientação (°);Posição (m)
1;A;1,82;0,41;12,4;0,5
2;B;0,95;0,22;47,8;1,5
3;A;2,47;0,56;88,1;2,6
4;C;1,21;0,09;134,5;3,7
5;B;0,73;0,19;102,2;4,8
6;A;3,1;0,61;75;5,9
7;C;0,64;0,07;152,3;7
8;B;1,39;0,24;110,5;8,1
9;A;1,98;0,39;82,7;9,2
10;C;1,09;0,1;140,8;10,3
11;B;0,82;0,21;115,3;11,4
12;A;2,88;0,58;90,1;12,5
13;C;0,57;0,08;145,2;13,6
14;A;1,71;0,34;79,4;14,7
15;B;1,28;0,27;108,8;15,8
16;A;2,44;0,52;84,3;16,9
17;B;0,92;0,2;120;18
18;C;0,98;0,14;150,7;19,1
19;A;2,18;0,47;87,6;20,2
20;C;0,72;0,11;136,9;21,3
21;B;1,03;0,23;102,9;22,4
22;A;2,96;0,59;77,5;23,5
23;C;0,61;0,09;148,6;24,6
24;B;1,22;0,19;99,7;25,7
25;A;2,09;0,45;83,2;26,8
26;C;0,81;0,12;142,4;27,9
27;B;1,49;0,28;113,1;29
28;A;1,93;0,44;89,5;30,1
29;C;0,69;0,1;157,9;31,2
30;A;2,77;0,57;85;32,3
31;B;1,14;0,25;105,4;33,4
32;C;0,54;0,06;146,3;34,5
33;A;2,32;0,5;80,8;35,6
34;B;1,37;0,26;111,2;36,7
35;A;2,68;0,55;82,4;37,8
36;C;0,87;0,13;155;38,9
37;B;1,58;0,31;99,2;40
38;A;2,05;0,4;88,9;41,1
39;C;0,63;0,09;144,1;42,2
40;A;3,21;0,62;76,6;43,3
